IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.66.119,4,4,0.00,123.47,16.47
104.20.21.212,4,4,0.00,125.35,15.83
172.67.71.83,4,4,0.00,121.59,15.36
172.67.65.99,4,4,0.00,119.44,14.84
172.67.72.238,4,4,0.00,120.10,14.63
172.67.74.110,4,4,0.00,124.07,13.95
172.67.68.247,4,4,0.00,120.46,13.35
172.67.69.235,4,4,0.00,120.39,8.36
172.67.67.185,4,4,0.00,116.41,8.27
162.159.153.144,4,4,0.00,125.32,3.73
172.67.73.33,4,4,0.00,119.75,0.94
104.20.23.31,4,4,0.00,125.50,0.00
104.20.16.245,4,4,0.00,125.64,0.00
104.20.25.203,4,4,0.00,125.67,0.00
172.67.77.169,4,4,0.00,126.03,0.00
162.159.152.187,4,4,0.00,126.09,0.00
172.67.78.189,4,4,0.00,126.22,0.00
172.65.229.120,4,4,0.00,126.69,0.00
172.65.231.188,4,4,0.00,126.83,0.00
162.159.140.120,4,4,0.00,127.01,0.00
104.20.25.239,4,4,0.00,175.25,7.44
162.159.133.160,4,4,0.00,174.03,7.13
162.159.143.152,4,4,0.00,171.92,7.12
162.159.140.75,4,4,0.00,171.65,6.82
104.20.29.170,4,4,0.00,175.00,6.45
104.20.21.74,4,4,0.00,168.77,6.30
104.20.18.96,4,4,0.00,168.60,6.20
162.159.134.154,4,4,0.00,173.77,6.18
162.159.137.69,4,4,0.00,173.98,6.18
104.20.16.118,4,4,0.00,172.67,6.14
162.159.142.198,4,4,0.00,174.04,5.40
104.20.27.220,4,4,0.00,166.48,5.31
104.20.19.25,4,4,0.00,167.60,5.25
162.159.129.178,4,4,0.00,174.53,4.69
162.159.141.240,4,4,0.00,171.99,3.93
104.20.17.44,4,4,0.00,169.10,3.36
104.20.22.243,4,4,0.00,169.98,3.33
104.20.20.236,4,4,0.00,168.72,2.92
162.159.130.152,4,4,0.00,167.12,1.52
104.20.23.143,4,4,0.00,167.35,0.00